セールページ対象,商品管理番号（商品URL）,商品名(item),メール指示書（〇をつけてください）,通常価格(税込),販売価格(税込）(price),3重価格,割引画像名(※割引率の後に「_off.gif」をつけてください(OFF),送料無料(※送料無料の場合は1を入れてください）(souryou),クーポン割引画像名,商品ページURL,商品画像URL,RAC番号,クーポン1画像,クーポン1URL（クーポンのURLを入れてください）,クーポン2画像,クーポン2URL（クーポンのURLを入れてください）,カラム数
SUMMER_INNER,b9940,授乳ブラohana,,3960,1998,,49_off.gif,1,,https://item.rakuten.co.jp/sanchya/b9940/,https://image.rakuten.co.jp/sanchya/cabinet/11336479/rakuten-no1.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10066265&itype=1,,,,,1
PRICE_DOWN1,b2200,レギュラーブラ,,4770,2900,,39_off.gif,1,,https://item.rakuten.co.jp/sanchya/b2200/,https://image.rakuten.co.jp/sanchya/cabinet/11336479/rakuten-no2.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10066265&itype=1,,,,,2
PRICE_DOWN1,b5050,シアーメッシュブラ,,5190,3658,,29_off.gif,1,,https://item.rakuten.co.jp/sanchya/b5050/,https://image.rakuten.co.jp/sanchya/cabinet/11336479/rakuten-no3.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10057639&itype=1,,,,,2
PRICE_DOWN1,b4600,育乳まる胸メーカー,,4730,3582,,24_off.gif,1,,https://item.rakuten.co.jp/sanchya/b4600/,https://image.rakuten.co.jp/sanchya/cabinet/11336479/rakuten-no4.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10056571&itype=1,,,,,2
PRICE_DOWN1,3924,日本製ボディシェイパー,,3850,2880,,25_off.gif,1,,https://item.rakuten.co.jp/sanchya/3924/,https://image.rakuten.co.jp/sanchya/cabinet/11336479/rakuten-no5.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10006862&itype=1,,,,,2
FEATURE,f0042,ブラセット5点福袋,,5300,2970~,,43_off.gif,1,,https://item.rakuten.co.jp/sanchya/f0042/,https://image.rakuten.co.jp/sanchya/cabinet/f0042-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10011014&itype=1,,,,,1
FEATURE,f0087,大きいサイズ3点福袋,,7260,3999~,,44_off.gif,1,,https://item.rakuten.co.jp/sanchya/f0087/,https://image.rakuten.co.jp/sanchya/cabinet/f0087-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=106&shop_bid=203078&iid=10057147&itype=1,,,,,2
FEATURE,2091,ショーツ5枚組福袋,,1480,1480,,,1,,https://item.rakuten.co.jp/sanchya/2091/,https://image.rakuten.co.jp/sanchya/cabinet/2091-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10001015&itype=1,,,,,2
FEATURE,c6100,綿混サニタリーショーツ,,2640,1980,,25_off.gif,1,,https://item.rakuten.co.jp/sanchya/c6100/,https://image.rakuten.co.jp/sanchya/cabinet/sale/newyear/thumbnails/c6100-ny2025.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=106&shop_bid=203078&iid=10066008&itype=1,,,,,2
FEATURE,c1354,3枚組サニタリーショーツ,,"2,200",1989,,9_off.gif,1,,https://item.rakuten.co.jp/sanchya/c1354/,https://image.rakuten.co.jp/sanchya/cabinet/sale/newyear/thumbnails/c1354-ny2025.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10042732&itype=1,,,,,2
PRICE_DOWN,b7700,カシュクールブラ,,5500,3782,,31_off.gif,1,,https://item.rakuten.co.jp/sanchya/b7700/,https://image.rakuten.co.jp/sanchya/cabinet/b7700-101-ab3.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10062550&amp;itype=1,,,,,2
PRICE_DOWN,b7070,スポーツブラ,,5500,3782,,31_off.gif,1,,https://item.rakuten.co.jp/sanchya/b7070/,https://image.rakuten.co.jp/sanchya/cabinet/b7070-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10061331&itype=1,,,,,2
PRICE_DOWN,c0777,日本製骨盤ガードル,,2970,"2,360",,20_off.gif,1,,https://item.rakuten.co.jp/sanchya/c0777/,https://image.rakuten.co.jp/sanchya/cabinet/c0777-101-241210.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10034003&itype=1,,,,,2
