セールページ対象,商品管理番号（商品URL）,商品名(item),メール指示書（〇をつけてください）,通常価格(税込),販売価格(税込）(price),3重価格,割引画像名(※割引率の後に「_off.gif」をつけてください(OFF),送料無料(※送料無料の場合は1を入れてください）(souryou),クーポン割引画像名,商品ページURL,商品画像URL,RAC番号,クーポン1画像,クーポン1URL（クーポンのURLを入れてください）,クーポン2画像,クーポン2URL（クーポンのURLを入れてください）,カラム数
PRICE_DOWN,c1111,ハイウエストガードル,,3630,"2,560",,29_off.gif,1,,https://item.rakuten.co.jp/sanchya/c1111/,https://image.rakuten.co.jp/sanchya/cabinet/c1111-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10041393&itype=1,,,,,2
PRICE_DOWN,c2630,超ハイウエストガードル,,4290,"2,820",,34_off.gif,1,,https://item.rakuten.co.jp/sanchya/c2630/,https://image.rakuten.co.jp/sanchya/cabinet/c2630-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10049203&itype=1,,,,,2
PRICE_DOWN,d0506,マタニティパジャマ,,3960,3366,,15_off.gif,1,,https://item.rakuten.co.jp/sanchya/d0506/,https://image.rakuten.co.jp/sanchya/cabinet/d0506-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066891&amp;itype=1,,,,,2
PRICE_DOWN,c6070,吸水ショーツ　60ml,,3300,1980,,40_off.gif,1,,https://item.rakuten.co.jp/sanchya/c6070/,https://image.rakuten.co.jp/sanchya/cabinet/c6070-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10066250&itype=1,,,,,1
GEKI,b9940,授乳ブラohana,,3960,1998,,49_off.gif,1,,https://item.rakuten.co.jp/sanchya/b9940/,https://image.rakuten.co.jp/sanchya/cabinet/b9940-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10066265&itype=1,,,,,2
BRA_SET,b4600,育乳まる胸メーカー,,4730,3582,,24_off.gif,1,,https://item.rakuten.co.jp/sanchya/b4600/,https://image.rakuten.co.jp/sanchya/cabinet/b4600-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10056571&itype=1,,,,,1
BRA_SET,b8090,,,1800,1800,,,,,https://item.rakuten.co.jp/sanchya/b8090/,https://image.rakuten.co.jp/sanchya/cabinet/b8090-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10063205&itype=1,,,,,2
BRA_SET,ba0778,,,2200,2200,,,,,https://item.rakuten.co.jp/sanchya/ba0778/,https://image.rakuten.co.jp/sanchya/cabinet/ba0778-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10067394&itype=1,,,,,2
DAILY_ITEM,c6100,綿混サニタリーショーツ,,2640,1980,,25_off.gif,1,,https://item.rakuten.co.jp/sanchya/c6100/,https://image.rakuten.co.jp/sanchya/cabinet/c6100-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=106&shop_bid=203078&iid=10066008&itype=1,,,,,2
DAILY_ITEM,c1354,3枚組サニタリーショーツ,,2090,1989,,9_off.gif,1,,https://item.rakuten.co.jp/sanchya/c1354/,https://image.rakuten.co.jp/sanchya/cabinet/c1354-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10042732&itype=1,,,,,2
DAILY_ITEM,5989,綿95%ナイトブラ,,1980,1480~,,25_off.gif,1,,https://item.rakuten.co.jp/sanchya/5989/,https://image.rakuten.co.jp/sanchya/cabinet/5989-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10009223&itype=1,,,,,1
MATERNITY,b9940,授乳ブラohana,,3960,1998,,49_off.gif,1,,https://item.rakuten.co.jp/sanchya/b9940/,https://image.rakuten.co.jp/sanchya/cabinet/b9940-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10066265&itype=1,,,,,2
MATERNITY,c6090,マタニティショーツ ohana,,980~,885~,,9_off.gif,1,,https://item.rakuten.co.jp/sanchya/c6090/,https://image.rakuten.co.jp/sanchya/cabinet/c6090-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066972&amp;itype=1,,,,,2
MATERNITY,a0239,ベビー枕,,,2979,,,1,,https://item.rakuten.co.jp/sanchya/a0239/,https://image.rakuten.co.jp/sanchya/cabinet/a0239-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066641&amp;itype=1,,,,,2
MATERNITY,a0242,コットン100% 新生児肌着,,,3280,,,1,,https://item.rakuten.co.jp/sanchya/a0242/,https://image.rakuten.co.jp/sanchya/cabinet/a0242-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10067187&amp;itype=1,,,,,2
MATERNITY,a0243,コットン100% 新生児肌着,,,2979,,,1,,https://item.rakuten.co.jp/sanchya/a0243/,https://image.rakuten.co.jp/sanchya/cabinet/a0243-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10067186&amp;itype=1,,,,,2
MATERNITY,d0506,マタニティパジャマ,,3960,3366,,15_off.gif,1,,https://item.rakuten.co.jp/sanchya/d0506/,https://image.rakuten.co.jp/sanchya/cabinet/d0506-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&amp;svid=101&amp;shop_bid=203078&amp;iid=10066891&amp;itype=1,,,,,2
MATERNITY,f0135,マタニティ福袋,,7920~,5940~,,25_off.gif,1,,https://item.rakuten.co.jp/sanchya/f0135/,https://image.rakuten.co.jp/sanchya/cabinet/f0135-101.jpg,https://my.bookmark.rakuten.co.jp/?func=reg&svid=101&shop_bid=203078&iid=10067368&itype=1,,,,,1
